2,37,51
3,77,81
3,44,11
4,23,52
2,84,30
4,40,73
5,93,33
5,52,9
5,29,39
6,98,85
6,90,70
6,81,15
7,82,29
7,18,25
8,35,34
9,57,89
10,57,34
10,72,93
1,9,15
11,89,21
11,43,17
13,82,9
14,29,19
7,75,38
12,20,48
2,10,93
15,46,95
16,85,97
16,57,94
17,71,50
14,41,7
18,1,77
19,65,49
21,7,63
21,18,21
21,56,91
22,39,23
23,96,38
24,84,75
20,89,89
14,65,61
24,21,37
25,27,83
25,22,18
26,11,29
26,9,68
27,73,18
28,31,93
25,57,70
28,53,78
29,72,4
26,93,6
29,48,70
29,28,3
30,79,93
30,29,18
31,36,37
28,61,59
32,24,98
34,71,75
32,59,67
35,60,68
34,88,61
36,29,87
37,52,57
37,31,53
33,95,50
38,17,44
38,22,94
39,1,75
35,51,32
40,81,45
40,89,47
39,19,62
38,16,34
40,84,4
42,59,22
42,14,99
43,8,12
43,38,88
43,2,38
41,98,67
45,93,59
44,13,97
46,94,6
46,19,14
47,75,54
46,42,44
47,38,33
44,45,95
48,49,73
49,48,43
49,4,52
50,27,66
48,53,64
48,58,78
52,21,9
50,69,27
50,74,53
53,91,58
53,88,79
54,84,70
54,59,99
54,24,54
51,73,98
56,54,47
55,94,74
55,96,30
57,19,87
58,55,17
58,43,60
55,24,22
56,80,33
56,55,30
60,75,71
61,63,59
61,73,54
62,39,62
62,14,22
63,62,49
58,33,11
64,31,34
64,99,68
59,28,84
65,12,68
59,3,25
66,91,52
67,21,86
67,63,23
68,57,47
69,74,49
69,10,82
64,12,76
66,69,69
66,2,65
70,23,55
71,80,68
71,15,96
72,75,3
73,2,63
74,75,4
74,26,72
74,79,40
75,51,43
76,11,32
77,84,14
78,21,34
79,55,31
80,67,15
80,79,30
81,50,45
76,73,33
83,71,38
76,43,55
83,63,55
81,72,87
84,1,77
84,8,20
85,14,88
85,13,58
82,60,48
88,74,65
88,11,66
88,36,84
86,62,54
89,77,17
90,91,71
91,94,15
87,59,54
92,50,16
92,49,27
92,87,11
93,65,32
94,14,70
95,96,15
93,5,88
91,9,30
91,40,76
96,48,5
96,29,45
96,36,77
97,8,34
97,30,77
98,99,79
97,55,46
99,58,97
100,37,4
100,23,65
99,10,60
101,83,89
