50,3
50,5
50,6
50,7
50,8
50,1
50,2
50,12
50,14
50,16
50,9
50,19
50,20
50,17
50,4
50,24
50,25
50,26
50,27
50,30
50,28
50,10
50,39
50,41
50,42
50,23
50,44
50,45
50,47
50,35
50,48
50,51
50,31
50,57
50,59
50,63
50,65
50,66
50,67
50,68
50,70
50,72
50,55
50,75
50,78
50,79
50,81
50,82
50,73
50,53
50,84
50,87
50,85
50,88
50,83
50,90
50,89
50,56
50,93
50,100
56,2
56,5
56,9
56,10
56,14
50,97
56,16
56,17
56,22
50,92
50,95
56,18
56,31
56,32
56,33
56,36
56,27
56,37
56,38
56,39
56,40
56,43
56,29
56,44
56,50
56,51
56,53
56,24
56,56
56,61
56,58
56,48
56,65
56,67
56,66
56,70
56,63
56,71
56,49
56,68
56,75
56,80
56,81
56,84
56,86
56,88
56,83
56,77
56,89
56,94
56,79
56,95
56,96
56,98
56,97
56,99
18,3
18,11
18,12
18,7
18,13
18,17
18,21
18,19
18,4
18,10
18,32
18,33
18,35
18,22
18,38
18,39
18,40
18,25
18,42
18,43
18,44
18,31
18,37
18,55
18,57
18,59
18,49
18,61
18,60
18,53
18,65
18,46
18,71
18,77
18,72
18,69
18,79
18,80
18,81
18,67
18,85
18,84
18,83
18,95
18,96
100,1
100,2
18,82
18,92
100,12
100,13
100,15
100,16
100,23
100,5
100,26
100,3
100,29
100,32
100,28
100,34
100,35
100,38
100,40
100,41
100,27
100,44
100,7
100,42
100,43
100,45
100,50
100,47
100,53
100,54
100,55
100,61
100,62
100,63
100,60
100,65
100,64
100,68
100,56
100,72
100,74
100,71
100,77
100,80
100,83
100,79
100,84
100,69
100,92
100,95
100,98
100,99
100,100
69,1
100,89
100,91
69,3
69,4
69,7
69,2
69,8
69,11
69,5
69,12
69,17
69,19
100,88
69,20
69,23
69,25
69,27
69,21
69,28
69,29
69,31
69,22
69,24
69,38
69,37
69,39
69,41
69,44
69,47
69,40
69,34
69,49
69,33
69,52
69,53
69,55
69,54
69,50
69,62
69,63
69,67
69,70
69,72
69,77
69,78
69,79
69,80
69,81
69,61
69,82
69,83
69,84
69,90
69,91
69,92
69,93
69,94
69,97
69,60
69,99
69,100
24,1
69,98
24,4
24,5
69,87
24,12
24,14
24,15
69,59
24,16
24,22
24,26
24,27
24,8
24,6
24,35
24,36
24,32
24,38
24,39
24,40
24,42
24,28
24,51
24,53
24,55
24,33
24,56
24,58
24,43
24,59
24,60
24,70
24,69
24,73
24,72
24,80
24,81
24,82
24,76
24,61
24,68
24,83
24,90
24,87
24,84
24,91
24,85
24,92
24,93
24,99
24,97
24,100
92,3
92,5
92,6
92,7
24,94
24,98
92,14
92,18
92,19
92,20
92,22
92,12
92,28
92,29
92,30
92,27
92,9
