2,37,51
3,77,81
3,44,11
4,23,52
4,40,73
5,93,33
5,29,39
5,52,9
2,84,30
6,98,85
6,90,70
6,81,15
7,82,29
7,75,38
8,35,34
9,57,89
10,57,34
10,72,93
11,89,21
11,43,17
12,20,48
13,82,9
14,29,19
1,9,15
7,18,25
15,46,95
16,85,97
16,57,94
17,71,50
18,1,77
2,10,93
19,65,49
14,65,61
21,18,21
21,56,91
22,39,23
14,41,7
23,96,38
24,84,75
21,7,63
24,21,37
20,89,89
25,27,83
26,9,68
25,22,18
26,11,29
26,93,6
28,31,93
27,73,18
28,61,59
29,72,4
29,48,70
29,28,3
28,53,78
30,79,93
30,29,18
31,36,37
32,24,98
32,59,67
25,57,70
34,71,75
34,88,61
35,60,68
35,51,32
33,95,50
37,52,57
36,29,87
38,16,34
39,19,62
38,17,44
39,1,75
40,81,45
40,89,47
41,98,67
37,31,53
40,84,4
42,14,99
43,8,12
42,59,22
43,38,88
43,2,38
38,22,94
44,13,97
45,93,59
44,45,95
46,19,14
46,94,6
46,42,44
47,38,33
47,75,54
49,48,43
48,53,64
49,4,52
50,74,53
50,69,27
51,73,98
48,49,73
50,27,66
52,21,9
53,88,79
54,84,70
54,59,99
53,91,58
48,58,78
55,96,30
54,24,54
56,54,47
56,80,33
56,55,30
57,19,87
55,24,22
55,94,74
59,28,84
59,3,25
60,75,71
61,63,59
61,73,54
58,33,11
58,43,60
62,14,22
62,39,62
63,62,49
64,99,68
58,55,17
64,31,34
66,91,52
66,2,65
65,12,68
67,21,86
67,63,23
68,57,47
66,69,69
69,74,49
70,23,55
64,12,76
72,75,3
71,80,68
71,15,96
74,75,4
74,26,72
74,79,40
73,2,63
76,11,32
69,10,82
76,73,33
77,84,14
78,21,34
76,43,55
75,51,43
79,55,31
80,67,15
81,50,45
80,79,30
81,72,87
83,63,55
82,60,48
84,1,77
85,14,88
86,62,54
87,59,54
84,8,20
85,13,58
88,11,66
89,77,17
88,74,65
88,36,84
83,71,38
91,94,15
91,9,30
91,40,76
90,91,71
93,65,32
93,5,88
94,14,70
95,96,15
96,48,5
96,36,77
96,29,45
97,55,46
97,30,77
97,8,34
98,99,79
92,50,16
98,93,85
92,87,11
99,10,60
100,37,4
100,23,65
99,58,97
92,49,27
